Date;GOOG.NASDAQ_AAPL - Close;GOOG.NASDAQ_GOOGL - Close;GOOG.NASDAQ_MSFT - Close;GOOG.NASDAQ_FB - Close;GOOG.NYSE_ORCL - Close
1998-01-02;0.58;;16.39;;
1998-01-05;0.57;;16.3;;
1998-01-06;0.68;;16.39;;
1998-01-07;0.62;;16.2;;
1998-01-08;0.65;;16.31;;
1998-01-09;0.65;;15.88;;
1998-01-12;0.65;;16.19;;
1998-01-13;0.7;;16.52;;
1998-01-14;0.71;;16.39;;
1998-01-15;0.69;;16.54;;
1998-01-16;0.67;;16.91;;
1998-01-20;0.68;;17.23;;
1998-01-21;0.67;;17.12;;
1998-01-22;0.69;;17.33;;
1998-01-23;0.7;;17.28;;
1998-01-26;0.69;;17.72;;
1998-01-27;0.68;;18.15;;
1998-01-28;0.69;;18.62;;
1998-01-29;0.66;;18.52;;
1998-01-30;0.65;;18.65;;
1998-02-02;0.63;;19.36;;
1998-02-03;0.65;;19.48;;
1998-02-04;0.65;;19.6;;
1998-02-05;0.65;;19.43;;
1998-02-06;0.66;;19.77;;
1998-02-09;0.69;;19.65;;
1998-02-10;0.69;;19.91;;
1998-02-11;0.68;;19.87;;
1998-02-12;0.69;;19.84;;
1998-02-13;0.7;;19.69;;
1998-02-17;0.7;;19.3;;
1998-02-18;0.73;;19.33;;
1998-02-19;0.73;;19.36;;
1998-02-20;0.71;;19.39;;
1998-02-23;0.76;;20.41;;
1998-02-24;0.76;;20.53;;
1998-02-25;0.8;;21.23;;
1998-02-26;0.84;;21.38;;
1998-02-27;0.84;;21.19;;
1998-03-02;0.81;;20.84;;
1998-03-03;0.83;;21.12;;
1998-03-04;0.87;;20.58;;
1998-03-05;0.86;;20.02;;
1998-03-06;0.87;;20.64;;
1998-03-09;0.81;;19.9;;
1998-03-10;0.86;;20.38;;
1998-03-11;0.93;;20.17;;
1998-03-12;0.96;;20.47;;
1998-03-13;0.97;;20.59;;
1998-03-16;0.95;;20.5;;
1998-03-17;0.94;;20.09;;
1998-03-18;0.96;;20.44;;
1998-03-19;0.96;;20.5;;
1998-03-20;0.94;;20.47;;
1998-03-23;0.93;;20.97;;
1998-03-24;1.0;;21.23;;
1998-03-25;0.97;;22.2;;
1998-03-26;0.95;;22.06;;
1998-03-27;0.96;;21.95;;
1998-03-30;0.98;;22.0;;
1998-03-31;0.98;;22.38;;
1998-04-01;0.98;;22.59;;
1998-04-02;0.98;;22.83;;
1998-04-03;0.97;;23.25;;
1998-04-06;0.94;;22.48;;
1998-04-07;0.91;;21.81;;
1998-04-08;0.89;;22.23;;
1998-04-09;0.92;;22.25;;
1998-04-13;0.94;;22.16;;
1998-04-14;0.96;;22.11;;
1998-04-15;0.98;;22.84;;
1998-04-16;1.02;;22.92;;
1998-04-17;1.0;;23.03;;
1998-04-20;1.04;;23.66;;
1998-04-21;1.04;;23.75;;
1998-04-22;0.98;;24.69;;
1998-04-23;0.99;;23.62;;
1998-04-24;1.0;;23.03;;
1998-04-27;0.99;;22.58;;
1998-04-28;0.96;;22.47;;
1998-04-29;0.96;;22.62;;
1998-04-30;0.98;;22.53;;
1998-05-01;1.0;;22.41;;
1998-05-04;1.04;;22.02;;
1998-05-05;1.06;;21.94;;
1998-05-06;1.08;;21.59;;
1998-05-07;1.08;;20.84;;
1998-05-08;1.09;;21.44;;
1998-05-11;1.1;;21.05;;
1998-05-12;1.08;;21.42;;
1998-05-13;1.09;;21.73;;
1998-05-14;1.07;;22.23;;
1998-05-15;1.06;;22.36;;
1998-05-18;1.02;;21.52;;
1998-05-19;1.05;;21.65;;
1998-05-20;1.06;;21.44;;
1998-05-21;1.03;;21.59;;
1998-05-22;1.0;;21.39;;
1998-05-26;0.95;;20.91;;
1998-05-27;0.96;;21.5;;
1998-05-28;0.98;;21.58;;
1998-05-29;0.95;;21.2;;
1998-06-01;0.94;;20.94;;
1998-06-02;0.96;;21.38;;
1998-06-03;0.94;;21.08;;
1998-06-04;0.96;;21.52;;
1998-06-05;0.96;;21.56;;
1998-06-08;0.97;;21.42;;
1998-06-09;1.01;;21.77;;
1998-06-10;1.0;;21.5;;
1998-06-11;0.99;;21.33;;
1998-06-12;1.0;;21.44;;
1998-06-15;0.98;;21.48;;
1998-06-16;1.0;;22.47;;
1998-06-17;1.0;;22.77;;
1998-06-18;0.98;;22.8;;
1998-06-19;0.97;;23.67;;
1998-06-22;0.98;;23.95;;
1998-06-23;0.99;;25.19;;
1998-06-24;1.01;;26.23;;
1998-06-25;1.02;;25.39;;
1998-06-26;1.01;;26.11;;
1998-06-29;1.02;;26.86;;
1998-06-30;1.02;;27.09;;
1998-07-01;1.07;;27.34;;
1998-07-02;1.04;;26.81;;
1998-07-06;1.08;;26.95;;
1998-07-07;1.09;;26.98;;
1998-07-08;1.16;;27.47;;
1998-07-09;1.13;;27.75;;
1998-07-10;1.15;;28.3;;
1998-07-13;1.21;;29.39;;
1998-07-14;1.19;;29.12;;
1998-07-15;1.23;;29.34;;
1998-07-16;1.34;;29.34;;
1998-07-17;1.32;;29.48;;
1998-07-20;1.29;;29.25;;
1998-07-21;1.27;;28.2;;
1998-07-22;1.25;;29.19;;
1998-07-23;1.25;;28.25;;
1998-07-24;1.24;;28.45;;
1998-07-27;1.23;;29.19;;
1998-07-28;1.2;;28.06;;
1998-07-29;1.25;;27.67;;
1998-07-30;1.3;;28.36;;
1998-07-31;1.24;;27.48;;
1998-08-03;1.25;;27.11;;
1998-08-04;1.22;;26.12;;
1998-08-05;1.29;;26.08;;
1998-08-06;1.32;;26.72;;
1998-08-07;1.3;;26.47;;
1998-08-10;1.35;;26.11;;
1998-08-11;1.39;;25.86;;
1998-08-12;1.43;;26.27;;
1998-08-13;1.41;;25.98;;
1998-08-14;1.45;;26.06;;
1998-08-17;1.5;;26.83;;
1998-08-18;1.52;;27.81;;
1998-08-19;1.46;;27.64;;
1998-08-20;1.45;;28.14;;
1998-08-21;1.54;;27.66;;
1998-08-24;1.47;;27.59;;24.26
1998-08-25;1.46;;28.2;;24.14
1998-08-26;1.44;;28.14;;23.82
1998-08-27;1.34;;27.31;;22.64
1998-08-28;1.22;;26.31;;21.32
1998-08-31;1.11;;23.98;;19.95
1998-09-01;1.22;;25.31;;20.57
1998-09-02;1.27;;25.14;;20.32
1998-09-03;1.24;;24.81;;19.07
1998-09-04;1.25;;24.16;;20.7
1998-09-08;1.37;;25.49;;21.64
1998-09-09;1.33;;25.56;;21.82
1998-09-10;1.36;;25.19;;22.14
1998-09-11;1.34;;26.06;;25.51
1998-09-14;1.33;;26.5;;26.58
1998-09-15;1.36;;27.08;;27.01
1998-09-16;1.33;;27.05;;27.26
1998-09-17;1.29;;26.23;;26.83
1998-09-18;1.31;;26.34;;27.2
1998-09-21;1.32;;26.97;;27.83
1998-09-22;1.32;;27.3;;28.64
1998-09-23;1.37;;28.41;;28.64
1998-09-24;1.38;;27.53;;28.39
1998-09-25;1.38;;28.27;;28.95
1998-09-28;1.4;;27.83;;28.14
1998-09-29;1.41;;28.22;;29.08
1998-09-30;1.36;;27.52;;29.14
1998-10-01;1.27;;26.02;;27.01
1998-10-02;1.25;;26.03;;26.01
1998-10-05;1.15;;25.3;;23.76
1998-10-06;1.16;;24.41;;23.2
1998-10-07;1.14;;23.53;;24.39
1998-10-08;1.1;;22.8;;23.89
1998-10-09;1.25;;24.22;;25.51
1998-10-12;1.34;;24.94;;24.82
1998-10-13;1.38;;24.11;;24.76
1998-10-14;1.33;;25.05;;25.7
1998-10-15;1.31;;26.36;;26.76
1998-10-16;1.31;;26.27;;26.45
1998-10-19;1.34;;25.73;;27.89
1998-10-20;1.29;;25.06;;26.2
1998-10-21;1.33;;26.61;;27.14
1998-10-22;1.31;;27.5;;27.2
1998-10-23;1.27;;26.59;;27.11
1998-10-26;1.34;;26.77;;27.64
1998-10-27;1.26;;26.36;;27.08
1998-10-28;1.31;;26.42;;28.17
1998-10-29;1.3;;26.66;;28.7
1998-10-30;1.33;;26.47;;29.58
1998-11-02;1.34;;26.45;;29.95
1998-11-03;1.35;;26.3;;29.83
1998-11-04;1.38;;26.38;;30.64
1998-11-05;1.36;;26.59;;31.83
1998-11-06;1.36;;27.33;;31.45
1998-11-09;1.31;;27.67;;31.83
1998-11-10;1.25;;28.02;;31.52
1998-11-11;1.2;;27.77;;33.52
1998-11-12;1.21;;27.19;;32.95
1998-11-13;1.27;;27.5;;33.2
1998-11-16;1.29;;27.2;;32.45
